,City,Country,Date,Lat,Lng,Max Temp,Humidity %,Cloudiness %,Wind Speed (mph),Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
120,Maniitsoq,GL,2020-02-20 22:04:37,65.42,-52.9,12.61,46,54,0.22,broken clouds,0.0,0.0
121,Tarko-Sale,RU,2020-02-20 22:04:37,64.92,77.78,32.0,94,98,8.21,light snow,0.0,0.31
122,Benghazi,LY,2020-02-20 22:04:01,32.12,20.07,60.15,65,100,17.31,light rain,0.13,0.0
123,Alihe,CN,2020-02-20 22:04:38,50.57,123.72,0.43,95,100,1.86,overcast clouds,0.0,0.0
124,Adrar,MR,2020-02-20 22:04:20,20.5,-10.07,75.96,10,0,11.21,clear sky,0.0,0.0
125,Nome,US,2020-02-20 22:04:38,64.5,-165.41,8.6,65,90,10.25,overcast clouds,0.0,0.0
126,Wanning,CN,2020-02-20 22:04:39,18.8,110.4,67.66,88,1,7.87,light rain,0.19,0.0
127,Qaanaaq,GL,2020-02-20 22:04:39,77.48,-69.36,-14.3,59,0,5.59,clear sky,0.0,0.0
128,Sandnessjoen,NO,2020-02-20 22:04:39,66.02,12.63,37.4,81,90,4.7,light shower snow,0.0,0.0
129,Buchanan,LR,2020-02-20 22:04:39,5.88,-10.05,80.6,94,40,3.36,mist,0.0,0.0
130,Waingapu,ID,2020-02-20 22:04:39,-9.66,120.26,82.9,75,100,15.43,overcast clouds,0.0,0.0
131,Palauig,PH,2020-02-20 22:04:40,15.44,119.9,67.46,56,0,6.85,clear sky,0.0,0.0
132,Coquimbo,CL,2020-02-20 22:02:40,-29.95,-71.34,64.4,77,75,11.41,broken clouds,0.0,0.0
133,Los Llanos De Aridane,ES,2020-02-20 22:04:40,28.66,-17.92,64.4,63,75,14.99,broken clouds,0.0,0.0
134,Georgetown,MY,2020-02-20 22:00:40,5.41,100.34,80.6,65,20,6.93,few clouds,0.0,0.0
135,Tuktoyaktuk,CA,2020-02-20 22:01:29,69.45,-133.04,-0.4,77,90,10.29,light snow,0.0,0.0
136,Tuy Hoa,VN,2020-02-20 22:04:40,13.08,109.3,75.11,80,55,23.71,light rain,1.06,0.0
137,Ushtobe,KZ,2020-02-20 22:04:41,45.25,77.98,29.91,66,34,1.83,scattered clouds,0.0,0.0
138,Manuk Mangkaw,PH,2020-02-20 22:04:41,4.8,119.85,80.15,76,2,9.44,clear sky,0.0,0.0
139,Malkangiri,IN,2020-02-20 22:04:41,18.35,81.9,68.88,70,0,1.05,clear sky,0.0,0.0
140,Port Alfred,ZA,2020-02-20 22:04:41,-33.59,26.89,69.01,92,77,1.01,light rain,0.19,0.0
141,Burley,US,2020-02-20 22:02:00,42.54,-113.79,37.4,40,1,12.75,clear sky,0.0,0.0
142,Nueva Concepcion,GT,2020-02-20 22:04:42,14.2,-91.3,93.2,46,40,13.87,scattered clouds,0.0,0.0
143,Tabora,TZ,2020-02-20 22:04:42,-5.02,32.8,75.2,73,40,2.73,scattered clouds,0.0,0.0
144,Ust-Nera,RU,2020-02-20 22:04:42,64.57,143.2,-35.93,100,100,2.68,overcast clouds,0.0,0.0
145,Tessalit,ML,2020-02-20 22:04:13,20.2,1.01,73.29,11,79,12.24,broken clouds,0.0,0.0
146,Dingle,PH,2020-02-20 22:04:42,11.0,122.67,71.35,93,69,13.8,light rain,0.88,0.0
147,Nikolskoye,RU,2020-02-20 22:01:13,59.7,30.79,33.01,95,75,4.47,broken clouds,0.0,0.0
148,Atar,MR,2020-02-20 22:04:43,20.52,-13.05,73.51,12,0,7.07,clear sky,0.0,0.0
149,Butaritari,KI,2020-02-20 22:01:04,3.07,172.79,83.17,80,100,13.94,light rain,0.25,0.0
150,Richards Bay,ZA,2020-02-20 22:04:43,-28.78,32.04,78.76,86,100,4.16,overcast clouds,0.0,0.0
151,Barrow,US,2020-02-20 22:04:43,71.29,-156.79,-5.8,76,90,9.17,mist,0.0,0.0
152,Qaqortoq,GL,2020-02-20 22:04:43,60.72,-46.03,30.2,28,100,17.22,overcast clouds,0.0,0.0
153,Turayf,SA,2020-02-20 22:04:44,31.67,38.66,46.4,93,0,6.93,clear sky,0.0,0.0
154,Eslov,SE,2020-02-20 22:04:44,55.84,13.3,43.0,93,90,20.8,overcast clouds,0.0,0.0
155,Abonnema,NG,2020-02-20 22:04:44,4.71,6.79,89.6,66,50,4.7,scattered clouds,0.0,0.0
156,Chapais,CA,2020-02-20 22:04:44,49.78,-74.85,1.4,59,40,13.87,scattered clouds,0.0,0.0
157,Lamu,KE,2020-02-20 22:04:44,-2.27,40.9,81.27,83,100,15.03,overcast clouds,0.0,0.0
158,Hasaki,JP,2020-02-20 22:04:45,35.73,140.83,42.8,81,75,4.7,broken clouds,0.0,0.0
159,Cap-Haitien,HT,2020-02-20 22:04:45,19.76,-72.2,79.29,77,0,24.74,clear sky,0.0,0.0
160,Fereydunshahr,IR,2020-02-20 22:04:45,32.94,50.12,17.56,94,73,7.43,broken clouds,0.0,0.0
161,Tasiilaq,GL,2020-02-20 22:04:45,65.61,-37.64,23.0,73,100,8.05,light snow,0.0,0.56
162,Cayenne,GF,2020-02-20 22:04:45,4.93,-52.33,80.6,69,36,5.82,scattered clouds,0.0,0.0
163,Kutahya,TR,2020-02-20 22:04:46,39.42,29.98,41.0,86,75,6.93,light rain,0.0,0.0
164,Henties Bay,NA,2020-02-20 22:04:46,-22.12,14.28,66.0,91,78,5.86,broken clouds,0.0,0.0
165,Beringovskiy,RU,2020-02-20 22:04:46,63.05,179.32,-16.29,88,0,7.83,clear sky,0.0,0.0
166,Akureyri,IS,2020-02-20 22:00:56,65.68,-18.09,30.2,100,90,12.75,light snow,0.0,0.0
167,San Ignacio,BZ,2020-02-20 22:04:46,17.16,-89.07,93.2,49,40,6.93,scattered clouds,0.0,0.0
168,Horki,BY,2020-02-20 22:04:47,54.29,30.98,34.5,92,39,5.37,scattered clouds,0.0,0.0
169,Suntar,RU,2020-02-20 22:04:47,62.14,117.63,12.07,96,100,4.41,light snow,0.0,0.5
170,Batu,ID,2020-02-20 22:04:47,-7.87,112.53,66.69,82,100,2.3,overcast clouds,0.0,0.0
171,Ahwa,IN,2020-02-20 22:04:47,20.75,73.68,64.76,53,0,1.07,clear sky,0.0,0.0
172,Ashland,US,2020-02-20 22:02:20,40.82,-82.27,26.6,49,40,9.17,scattered clouds,0.0,0.0
173,Faanui,PF,2020-02-20 22:01:25,-16.48,-151.75,82.69,78,100,18.72,light rain,0.63,0.0
174,Fowa,NG,2020-02-20 22:04:48,8.92,6.4,85.77,16,0,3.15,clear sky,0.0,0.0
175,Mutoko,ZW,2020-02-20 22:04:48,-17.4,32.23,67.26,93,51,3.22,light rain,0.56,0.0
176,Ishigaki,JP,2020-02-20 22:04:48,24.34,124.16,68.0,68,40,13.87,scattered clouds,0.0,0.0
177,Andenes,NO,2020-02-20 22:00:22,69.31,16.12,33.8,64,75,24.16,broken clouds,0.0,0.0
178,Huarmey,PE,2020-02-20 22:04:49,-10.07,-78.15,82.08,53,100,10.98,overcast clouds,0.0,0.0
179,Severo-Kurilsk,RU,2020-02-20 22:04:49,50.68,156.12,16.77,91,99,17.2,light snow,0.0,1.38
180,Portree,GB,2020-02-20 22:04:50,57.41,-6.19,43.0,85,73,11.01,light rain,0.5,0.0
181,Talnakh,RU,2020-02-20 22:02:25,69.49,88.4,15.8,85,90,4.47,fog,0.0,0.0
182,Nabire,ID,2020-02-20 22:00:41,-3.37,135.48,70.65,97,81,2.26,broken clouds,0.0,0.0
183,Oskarshamn,SE,2020-02-20 22:04:50,57.26,16.45,42.8,93,75,16.11,light rain,0.0,0.0
184,San Juan,AR,2020-02-20 22:03:11,-31.54,-68.54,84.6,19,14,18.9,few clouds,0.0,0.0
185,Taltal,CL,2020-02-20 22:01:58,-25.4,-70.48,66.85,72,6,6.08,clear sky,0.0,0.0
186,Chapleau,CA,2020-02-20 22:04:51,47.84,-83.4,15.8,61,75,13.87,broken clouds,0.0,0.0
187,Kirakira,SB,2020-02-20 22:04:51,-10.45,161.92,80.11,83,65,4.0,broken clouds,0.0,0.0
188,Yulara,AU,2020-02-20 22:04:51,-25.24,130.99,73.4,23,0,6.93,clear sky,0.0,0.0
