,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Port Lincoln,AU,61.16,overcast clouds,-34.73,135.87,Port Lincoln Hotel
512,Conceicao Do Araguaia,BR,71.6,light rain,-8.26,-49.26,Tarumã Tropical Hotel
522,Basco,PH,72.64,clear sky,20.45,121.97,Nathaniel's Lodge
528,Labuhan,ID,73.18,scattered clouds,-6.88,112.21,bador sepret
541,Padong,PH,62.6,few clouds,18.05,120.76,Stone House Hostel - Medardus
543,Gudari,IN,63.19,clear sky,19.35,83.78,Tirupati Hotel
545,Gwanda,ZW,73.02,few clouds,-20.93,29.0,Mafax Homeways
547,Ginir,ET,64.54,scattered clouds,7.13,40.7,Sura Dare Village
557,Madera,US,73.0,clear sky,37.17,-119.83,
563,Qandala,SO,73.85,broken clouds,11.47,49.87,
564,Kapit,MY,71.4,broken clouds,2.02,112.93,Hotel Meligai Kapit
